filename,width,height,class,xmin,ymin,xmax,ymax
cZ2myTfL1FPj82zLx3wS.jpg,756,1008,2,512,591,528,610
cZ2myTfL1FPj82zLx3wS.jpg,756,1008,5,482,569,498,587
i.rf.caf0ed1eabaca59e25fd56bcf0613fa5.jpg,756,1008,3,369,400,394,420
IMG_0724_jpeg.rf.cf2f1dc7a223309ad26b0826a825e5d4.jpg,756,1008,3,473,582,489,599
IMG_0724_jpeg.rf.cf2f1dc7a223309ad26b0826a825e5d4.jpg,756,1008,1,463,561,480,579
i.rf.ceef8dedd96206f93066f6ce1e47c2a3.jpg,756,1008,1,364,396,397,422
i.rf.cb728c4974c6eb03d5f2e6fcaac7fdab.jpg,756,1008,5,322,379,419,455
IMG_0765_jpeg.rf.cfadd553772725f985ca5edc63c6856b.jpg,756,1008,4,449,750,471,770
IMG_0765_jpeg.rf.cfadd553772725f985ca5edc63c6856b.jpg,756,1008,3,350,723,372,744
i.rf.ccbe86b2ce6a5f6e56e8a2834264cc0c.jpg,756,1008,1,373,315,429,355
crzGnUmQeLEqiN4W2xck.jpg,756,1008,1,621,567,642,585
crzGnUmQeLEqiN4W2xck.jpg,756,1008,1,357,685,379,707
i.rf.cceec6bb69a60f364635ee1d42a178f6.jpg,756,1008,3,285,347,419,457
IMG_0829_jpeg.rf.cb79250cda8b0611bb383e3fccae9479.jpg,756,1008,5,510,666,530,687
IMG_0829_jpeg.rf.cb79250cda8b0611bb383e3fccae9479.jpg,756,1008,3,368,435,387,450
i.rf.d0515ca2d353c67b6625bb2dfec5bc3a.jpg,756,1008,1,330,399,466,513
i.rf.d0e7fcf8eafb288ba9b410428686165d.jpg,756,1008,4,310,369,435,472
IMG_0668_jpeg.rf.d1d2a126070368ac9c28bf5468b864fe.jpg,756,1008,2,380,515,400,533
IMG_0668_jpeg.rf.d1d2a126070368ac9c28bf5468b864fe.jpg,756,1008,1,386,448,404,466
i.rf.d4927ba330cbd35042e6dd9a726e1d98.jpg,756,1008,3,404,453,430,469
i.rf.d4dd0e65102197703c790001fa2c82b5.jpg,756,1008,6,388,411,448,457
i.rf.d550e2085ef0c9981f5143089b6651d6.jpg,756,1008,2,285,365,347,409
IMG_0770_jpeg.rf.d4706f891f6bf8e482b08f42a0f2302f.jpg,756,1008,5,568,478,590,494
IMG_0770_jpeg.rf.d4706f891f6bf8e482b08f42a0f2302f.jpg,756,1008,5,444,275,460,285
dK8p8vEClJa7OBQJMnyv.jpg,756,1008,4,408,404,465,449
IMG_0745_jpeg.rf.d1794f0a2df0d8c01ed0e7aa3480b0f4.jpg,756,1008,4,654,490,673,506
IMG_0745_jpeg.rf.d1794f0a2df0d8c01ed0e7aa3480b0f4.jpg,756,1008,4,325,639,346,661
dSU700A146aQemm3clUr.jpg,756,1008,5,559,441,585,464
dSU700A146aQemm3clUr.jpg,756,1008,5,188,474,211,495
dSWpXr1xdsKIgr4gpSqO.jpg,756,1008,4,388,289,464,348
d75sab7nDfhKC2hN0Zav.jpg,756,1008,4,439,130,454,155
d75sab7nDfhKC2hN0Zav.jpg,756,1008,1,433,213,447,239
dQltInQtTmm570uLqiLp.jpg,756,1008,6,582,686,603,708
dQltInQtTmm570uLqiLp.jpg,756,1008,1,506,512,524,528
dO631KWuKVK51l5TJgPW.jpg,756,1008,6,365,789,403,829
dO631KWuKVK51l5TJgPW.jpg,756,1008,6,293,202,322,231
dX7b081RY2XaeVAdArxc.jpg,756,1008,1,401,407,465,455
IMG_0742_jpeg.rf.da0558b3ae75e7aa42dc040f3f026648.jpg,756,1008,5,593,723,614,743
IMG_0742_jpeg.rf.da0558b3ae75e7aa42dc040f3f026648.jpg,756,1008,6,367,624,389,646
i.rf.daea5a350947615b477f8d2bab1b48e0.jpg,756,1008,5,170,273,202,298
